speaker,speech,document
Rana el Kaliouby,"Exactly. And, and I actually, like made it my own, I remember, I would really match the color of my headscarf with what I was wearing, like I it was a form of self expression. And I am at its best, I love wearing it. You know, I've have a lot of questions around how we practice religion and religion. And you know, and I think, I think also, it was a time where I was spending a lot of time going back and forth between the US and Egypt. And I started meeting a lot of people in the US who are just amazing. People very purpose driven, people who have very strong core values, but they're not Muslim. That's okay. Right. And so, that was when I just had a lot of questions. And politically, also the situation in Egypt, it was when the Muslim Brotherhood ran the country, and I didn't agree with their ideology. It was at a time when I was going through a divorce, like it was, like, it was like just the perfect storm of like, political personal conditions where it was like, This doesn't feel like me anymore. And it took a lot of courage to take it off. Because culturally, it's not, it's okay if you don't wear it, but it's really not okay to wear it, and then take it off.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"But you're still so you have to do that, while still maintaining a deep core and pride in the origins and your origin story. Totally. So still being Egyptian. So being a Muslim, right,","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"and being I think generally like, Faith driven. But","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"yeah, for what that means changes year by year for you. That's a personal journey.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"Yeah, exactly.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"What would you say is the role of faith in that part of the world? How do you say you mentioned it a bit in the book, too?","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"Yeah. I mean, I think I think there is something really powerful about just believing that there's a bigger force, you know, there's a kind of surrendering I guess, that comes with religion, and you surrender and you have this deep conviction that it's gonna be okay. Right? Like the universe is out to like do amazing things for you and it's going to be okay. And there's strength to that like even when you're going through adversity you just know that it's gonna work","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"out Yeah, it gives you like an inner peace a calmness. Exactly. Exactly. Yeah, that's good. Faith and all the meanings of that word right faith that everything's going to be okay and it is because time passes and time cures all things said the calmness fight with the chaos of the world. And also","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"there's like a silver like I'm a true believer of this that something the specific moment in time can look like it's catastrophic and not what you wanted in life that is it. But then time passes then the you look back and there's a silver lining right it maybe closed the door but it opened a new door for you. And so I'm a true believer in that that you know, there's a silver lining and an almost anything in life, you just have to have this like, Have faith or conviction that it's going to work out so","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"such a beautiful way to see a shitty feeling. So if you're if you feel shitty about it, current situation. I mean, it almost is always true. Unless it's a The cliche is this thing of if it doesn't kill you, whatever doesn't kill you makes you stronger. It's it does seem that over time when you take a perspective on things that that the the hardest moments and periods of your life and the most meaningful. Yeah, yeah. So over time you get to have that fight. What about because you mentioned Kuwait? What about? Let me ask you about war, because the role of war and peace, maybe even the big love and hate in that part of the world, because it does seem to be a part of the world with there's turmoil, there was turmoil, there's still turmoil.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"It is so unfortunate, honestly, it's It's such a waste of human resources. And, and, yeah, and human mindshare. I mean, and at the end of the day, we all kind of want the same things we want. You know, we want human connection, we want Joy want to feel fulfilled, we want to feel, you know, a life of purpose. And I just, I just find it baffling honestly, that we are still having to grapple with that. I have a story to share about this. You know, I grew up, dude, I'm a Gyptian. American now, but but, you know, originally from Egypt, and when I first got to Cambridge, it turned out my officemate, like my PhD, kind of, you know, she ended up you know, we ended up becoming friends, but she was from Israel. And we didn't know Yeah, we didn't know how it was gonna be like,","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,You guys sit there just staring at each other for a bit.,"Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"Actually, she, because I arrived before she did. And it turns out, she emailed our PhD advisor, and asked him if she thought it was going to be okay.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,Yeah. And it was around 911. To Yeah.,"Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"And Peter, Peter Robinson, our PhD advisor was like, yeah, like, just as an academic institution just show up. And we became super good friends, we were both new mom's like, we both had our kids during our PhD, we're both doing artificial emotional intelligence. She was looking at speech, I was looking at the face we just had. So the culture was so similar. Our jokes were similar. It was just, I was like, Why on earth are countries? Why is there all this like war intention? And I think it falls back to the narrative, right? If you change the narrative, like whoever creates this narrative of war? I don't know, we should have women around the world.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"That's one solution. The good women, because there's also evil women. It's true. But yes, yes, there could be less war for women around the world. The The other aspect is, doesn't matter, the gender, the people in power, you know, I get to see this with with Ukraine and Russia, different parts of the world around that conflict now. And that's happening in Yemen as well. And everywhere else. There's these narratives told by the leaders to the populace, yep. And those narratives take hold. And everybody believes that and they have a distorted view of the humanity on the other side. In fact, especially during war, you don't even see the people on the other side as, as, as human, or as equal intelligence or worth or value as you, you tell all kinds of narratives about them being Nazis or dorm or whatever narrative you want to weave around that are evil. But I think when you actually meet them face to face, you realize they're like the same. Exactly right. It's actually a big shock for people to realize, like that they've been, they've been essentially lied to, within the country. And I kind of have faith that social media is ridiculous, that is to say, or any kind of technology is able to bypass the the walls that governments put up and connect people directly. And then you get to realize who, like people fall in love across different nations and religions and so on. And that I think, ultimately can cure a lot of our ills, especially sort of in person. Just I also think that if leaders met in person, to have a conversation that would cure a lot of the ills of the world, especially in private. Well, let me ask you about the women running, running the world. So gender does in part perhaps shaped the landscape of just our human experience. So in what ways was a limiting in what ways was an empowering for you to be a woman in the Middle East?","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"I think just kind of just going back to like my comment on like women running the world, I think comes back to empathy, right, which which has been a common thread throughout my, my entire career. And it's this, this idea of human connection. Once you build common ground with a person or a group of people, you build trust, you build loyalty, you build friendship, and then and then you can turn that into like behavior change and motivation and persuasion. So it's like empathy and emotions are just at the center of, of everything we do. And, and I think being, being from the Middle East, kind of this human connection is very strong. Like, we have this running joke that if you come to Egypt for a visit, people aren't going to know everything about your life, like right away, right? I have no problems asking you about your personal life. There's no like no boundaries, really no personal boundaries, in terms of getting to know people, we get emotionally intimate, like very, very quickly. But I think people just get to know each other, like, authentically, I guess, you know, there isn't this, like, superficial level of getting to know people, you just try to get to know people really deeply, you're part of that. Totally. So you can put yourself in this person's shoe and kind of Yeah, imagine, you know, what, what challenges they're going through. And so I think I've definitely taken that with me. Generosity is another one to like, just being generous with your time and love and attention. And even with your wealth, right? Even if you don't have a lot of it, you're still very generous. And I think that's another","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,enjoying the humanity of other people. So do you think there's useful difference between men and women in that aspect and empathy? Or is doing these kind of big general groups? Does that hinder progress?,"Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"Yeah, I don't I actually don't want to overgeneralize I mean, I thought men I know are like the most empathetic humans. Yeah, I strive to be. Yeah, you are, you're actually very empathetic. Yeah, so outside, so I don't want to overgeneralize although one of the researchers I worked with when I was at Cambridge Professor Simon Baron Cohen. He's Sacha Baron Cohen's cousin. And he runs the Autism Research Center at Cambridge. And he's written multiple books on autism and one of his one of his theories is the empathy scale like the system misers and the empathizers. in it. There's a disproportionate amount of computer scientists and engineers who are system misers and perhaps not great empathizers. And then, you know, there's an, there's more men in that bucket, I guess, than women. And then there's more women in the empathizers bucket. So again, not not to overgeneralize","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"sometimes wonder about that is it's been frustrating to me how many, I guess systemized are in the fields of robotics? Yeah, x is actually encouraging to me, because I care about obviously, social robotics. And because it, there's more opportunity for people that are empathic.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"Exactly, I totally agree. Well, yes. So everybody's,","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"I talk to you, they don't see the human as interesting as, like, it's not exciting. You want to avoid the human at all costs. It's a it's a safety concern to be touching the human, which it is, but it's also an opportunity for deep connection, or collaboration, or all that kind of stuff. So, and because most, most brilliant roboticist don't care about the human, it's an opportunity, right? For in your case, it's the business opportunity to win in general an opportunity to explore those ideas. So in his beautiful journey to Cambridge, to UK, and then to America, what, what's the moment or moments that were most transformational for you? As a scientist and as a leader, she became an exceptionally successful co founder, researcher, scientist and so on. Was there a phase shift there where like I can be somebody I can I can really do something in this world.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"Yeah, so actually just kind of a little bit of background. So the reason why I moved from Cairo to Cambridge, UK to do my PhD is because I had a very clear career plan. I was like, Okay, I'll go abroad, get my PhD kind of crush it in three or four years come back to Egypt and teach. It was very clear,","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,very well laid out was topic clear on,"Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"the topic. Well, I did I did my PhD around building artificial emotional intelligence and","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,be in your master plan ahead of time when you're sitting by the mango tree Did you did you know it's gonna be artificial Intelligence.,"Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"No, no, no that I did not know. Although I think I kind of knew that I was going to be doing computer science, but I didn't know the specific area. But I love teaching. I mean, I still love teaching. So I just Yeah, I just wanted to go abroad, get a PhD, come back teach.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,What computer science? Can we just linger on that? One? Because you're such an empathic person who cares about emotion humans and so on? Isn't? Aren't computers cold and emotionless?,"Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"Just like changing that. Yeah, no, but","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"like, isn't that the? Or did you see computers as the having the capability to actually connect with humans?","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"I think that was like my takeaway from my experiences growing up, like computers sit at the center of how we connect and communicate with one another, right? Or technology in general. Like, I remember my first experience being away from my parents, we communicated with a fax machine. But thank goodness for the fax machine, because we could let send letters back and forth to each other. This was pre emails and stuff. So So I think, I think there's, I think technology can be not just transformative in terms of productivity, etc. It actually does change how we connect with one another. And","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"can I just defend the fax machine? Yeah, there's something like the haptic feel, is the email is all digital. There's something really nice. I still write letters to people. There's something nice about the haptic aspect of the fax machine because you still have to press, you still have to do something in the physical world to make this thing a reality that the sensor","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"light comes out as a printout. And you can actually touch it and read it. Yeah,","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"there's something. There's something lost when it's just an email. Obviously, I wonder how we can regain some of that in the digital world, which goes to the metaverse and all those kinds of things. We'll talk about it anyway. So","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,do you question on that one? Do you still? Do you have photo albums anymore? Do you still print photos?,"Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"No, no, but I'm a minimalist. Okay. So it was one of the one of the painful steps in my life was to scan all the photos and let go of them and then let go of all my books, all of your books, switch to kindle everything. So I thought, I thought, Okay, think 30 years from now. Nobody's gonna have books anymore. It's the technology of digital books gonna get better and better and better? Are you really going to be the guy that's still romanticizing physical books? Are you going to be the old man on the porch? Who's like kids? Yes. So just get used to it because it was it felt it still feels a little bit uncomfortable to read on a Kindle, but get used to it. Like, you're always trying to learn new programming languages always. Like with technology, it has to kind of challenge yourself to adapt to it. You know, I forced myself to use tick tock now. That thing doesn't mean much forcing it pulls you in like a like a the worst kind of, or the best kind of drug anyway. Yeah. So yeah, I but I do love haptic things. There's a magic to the haptic even like touchscreens is tricky to get right. To get the experience of a button. Yeah. Anyway, what were we talking about? So AI? So the journey, your whole plan was to come back to Cairo and teach, right?","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"And then what is the plan go wrong? Yeah, exactly. Right. And then I got to Cambridge, and I fall in love with the idea of research, right, and kind of embarking on a path. Nobody's explored this path before. You're building stuff that nobody's built before. And it's challenging, and it's hard. And there's a lot of non believers. I just totally love that. And at the end of my PhD, I think it's the meeting that changed the trajectory of my life. Professor, Rosalind Picard who's she runs the affective computing group at the MIT Media Lab. I had read her book I, you know, I was like, falling, falling, following all her research,","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"aka Roz. Yes, it Ross.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"And she was giving a talk at a pattern recognition conference in Cambridge. And she had a couple of hours to kill. So she emailed the lab, and she said, You know, I have any students want to meet with me, like just, you know, sign up here. And so I signed up for slots. And I spent, like the weeks leading up to it preparing for this meeting. I want to show her demo of my research and everything. And we met and we ended up hitting it off, like we totally clicked. And at the end of the meeting, she said, Do you want to come work with me as a postdoc at MIT? And this is what I told her. I was like, Okay, this would be a dream come true. But there's a husband waiting for me in Cairo. I kind of have to go. Yeah. She said, It's fine. Just commute. And I literally started commuting between Cairo and Boston. Yeah, it was It was a long commute. And I didn't I did that like, every few weeks, I would, you know, hop on a plane and go to Boston. But that that changed the trajectory of my life. There was no I kind of outgrew my dreams, right? I didn't want to go back to Egypt anymore and be faculty like, that was no longer my dream. I had a dream, what was the","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"what was it like to be at MIT? What was that culture shock? You mean America in general, but also, I think Cambridge has its own culture. So what was MIT like? Was America like?","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"I think I wonder if that's similar to your experience at MIT. I was just at the Media Lab, in particular, I was just really impressed is not the right word. I didn't expect the openness to like innovation and the acceptance of taking a risk and failing, like, failure isn't really accepted back in Egypt, right? You don't want to fail. Like there's a fear of failure, which I think has been hardwired in my brain. But you get to MIT, and it's okay to start things. And if they don't work out, like it's okay, you pivot to another idea. And that kind of thinking was just very new to me","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"as liberating. Well, Media Lab for people who don't know, MIT Media Lab is its own beautiful thing, because they, I think, more than other places that MIT reached for big ideas, and like they tried. I mean, I think, I mean, depending of course, on who, but certainly it was Rozlyn this, you try wild stuff, you try big things and crazy things and, and also try to take things to completion so you can demo them. So always, always, always have a demo, like if you go, one of the sad things to me about robotics labs at MIT, there's like over 30, I think, is like usually when you show up to a robotics lab, there's not a single working robot, they're all broken. All the robots are broken, which is like the normal state of things because you're working on them. But it would be nice if we lived in a world where robotics labs had some robots functioning one of my, like, favorite moments that just sticks with me, I visited Boston Dynamics. And there was a first of all, seeing so many spots, so many legged robots in one place. I'm like, come home. But the right. This is where I was built. The cool thing was just to see there's a random robot spot was walking down the hall. It's probably doing mapping, but it looked like he wasn't doing anything and he was wearing he or she. I don't know. But it well, I like I like in my mind, there are people that have a backstory, but this one in particular Def has a backstory because he was wearing a cowboy hat. So I saw a spa robot with a cowboy hat walking down the hall. And there was just this feeling like, there's a life like he has a life, he probably has to commute back to his family at night. Like there's a feeling like there's life instilled in this robot. And that's magical. I don't know that was kind of inspiring to see.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"He didn't say hello to did he say hello to you. Very,","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"there's a focus nature to the robot. No, no, listen, I love competence and focus and great like he was not going to get distracted by the shallowness of small talk. This is job to be done. And he was doing it. So anyway, the fact that it was working is a beautiful thing. And I think media lab really prides itself on trying to always have a thing that's working with a good show off.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"Yes, we used to call it demo or die. You You could not you could not like show up with like PowerPoint or something. You actually have to have a working you know, my son, who is now 13 I don't know if this is still his life long goal or not. But when he was a little younger, his dream is to build an island that's just inhabited by robots. Like no humans. He just wants to all these robots to be connecting and having fun. And that's all there you go.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"Does he have human? Does he have an idea of which robots he loves most? Is it is it Roomba like robots is a humanoid robots, robot dogs or is not clear yet?","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"We used to have a G Bo, which was the one of the MIT Media Lab spinouts. And he used to loving","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"the giant head. Yes, this spins. Right. Exactly. Rotate. And it's an eye as well like, not glowing like Right, right. Right. Right. Exactly. How my daughter but the friendly version.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Rana el Kaliouby,"He loved that. And then he just loves Yeah, he just he I think he loves all forms of robots actually.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
Lex Fridman,"So embodied intelligence. Yes. I like I personally like legged robots, especially anything that can wiggle its butt. No. That's not the definition of what I love. But that's just technically what I've been working on recently, I have a bunch of legged robots now in Austin and I've been doing I was I've been trying to have them communicate affection, with their body in different ways just for art. For art, really, because I love the idea of walking around with the robots. Like, as you will with the dog. I think it's inspiring to a lot of people, especially young people, like kids love, kids love it. Parents, like adults are scared of robots, because don't have this kind of weird construction of the world is full of evil. They love the things.","Rana el Kaliouby - Emotion AI, Social Robots, and Self-Driving Cars.txt"
