speaker,speech,document
Andrej Karpathy,"Or no, definitely feels like you're referencing some kind of a declarative structure of like, memory, and so on.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And then you're putting that together with your prompt and giving away some so,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"how much of what you just said, has been said by you before?","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"Nothing basically, right?","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"No, but if you actually look at all the words you've ever said in your life, and you do a search, you'll probably said, a lot of the same words in the same order before.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"Yeah, could be.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"I mean, I'm using phrases that are common, etc.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,But I'm really mixing it into a pretty sort of unique sentence at the end of the day.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"But you're right, definitely, there's like a ton of re mixing","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"why you, didn't you?","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"It's like Magnus Carlsen said, I'm ready to 2900 Whatever, which is pretty decent.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"I think you're talking very, you're not giving enough credit to neural nets here.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,Why do they seem to work?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,What's your best intuition about this emergent behavior?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"Um, it's kind of interesting, because I'm simultaneously underselling them.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,But I also feel like there's an element to which I'm over.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"Like, it's actually kind of incredible that you can get so much emergent magical behavior out of them, despite them being so simple mathematically.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,So I think those are kind of like two surprising statements that are kind of just juxtaposed together.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And I think basically, what it is, is we are actually fairly good at optimizing these neural nets.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And when you give them a hard enough problem, they are forced to learn very interesting solutions in the optimization.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And those solution basically have these emergent properties that are very interesting.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"There's wisdom and knowledge in the knobs, and so on.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"Yes, this representation that's in the knobs doesn't make sense to you intuitively, the large number of knobs can hold a representation that captures some deep wisdom about the data.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,It has looked at a lot of knobs.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"It's a lot of knobs And somehow, you know, so speaking concretely, one of the neural nets that people are very excited about right now are our GPS, which are basically just next word prediction networks.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"So you consume a sequence of words from the internet, and you try to predict the next word.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And once you train these on a large enough data set, they, you can basically prompt these neural nets in arbitrary ways.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And you can ask them to solve problems, and they will.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"So you can just tell them, you can, you can make it look like you're trying to solve some kind of a mathematical problem.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And they will continue to do what they think is the solution based on what they've seen on the internet.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And very often, those solutions look very remarkably consistent look correct, potentially.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,Do you still think about the brain side of it?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"So as neural nets is an abstraction or mathematical abstraction of the brain, these still draw wisdom from, from the biological neural networks are even the bigger question.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,So you're a big fan of biology and biological computation.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"What impressive thing is biology do doing to you that computers are not yet that gap,","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,I would say I'm definitely on a much more hesitant with the analogies to the brain than I think you would see potentially in the field.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And I kind of feel like, certainly, the way neural networks started is everything stemmed from inspiration of the brain, but at the end of the day, the artifacts that you get after training, they are arrived at by a very different optimization process than the optimization process that gave rise to the brain.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And so I think, I kind of think of it as a very complicated alien artifact, it's something different, doesn't necessarily the, the neural nets that we're training, okay, they are complicated alien artifact, I do not make analogies to the brain, because I think the optimization process that gave rise to it is very different from the brain.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"So there was no multi agent self play kind of setup, and evolution, it was an optimization, that is basically a what amounts to a compression objective on a massive amount of data.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"Okay, so artificial neural networks are doing compression, and biological neural networks are to survive.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"And by really doing a they're, they're an agent in a multi agent, self play system that has been running for a very, very long time.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"That said, evolution has found that it is very useful to, to predict and have a predictive model in the brain.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And so I think our brain utilizes something that looks like that as a part of it.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"But it has a lot more, you know, couches and gizmos, and value functions and ancient nuclei that are all trying to like make us survive and reproduce and everything else.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,And the whole thing through embryogenesis is built from a single cell.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"I mean, it's just the code is inside the DNA.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,And it just builds it up like the entire organism with,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,crazy head,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,and legs.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,Yes.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,And like,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,it's does it pretty well.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,It may not be possible.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,So there's some learning going on.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,There's some there's some there's some kind of competition going through that building process.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"I mean, I don't know where if you're just the look at the entirety of history of life on Earth, what do you think is the most interesting invention?","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,Is it the origin of life itself?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,Is it just jumping to eukaryotes?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,Is it mammals?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"Is a humans themselves almost Sapiens, the origin of intelligence or highly complex intelligence?","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,Or?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,Or is it all just a continuation of the same kind of process?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"Certainly, I would say it's an extremely remarkable story that I'm only like briefly learning about recently, all the way from actually like, you almost have to start at the formation of earth, and all of its conditions and the entire solar system and how everything is arranged with Jupiter and Moon and the habitable zone and everything.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And then you have an active earth that's turning over material.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And then you start with a view about Genesis and everything.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And so it's all like a pretty remarkable story.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"I'm not sure that I can pick like a single unique piece of it, that I find most interesting.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"I guess for me, as an artificial intelligence researcher, it's probably the last piece we have lots of animals that, you know, are, are not building technological society.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,But we do.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And it seems to have happened very quickly.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,It seems to have happened very recently.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And something very interesting happened there that I don't fully understand.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"I almost understand everything else, kind of I think intuitively.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,But I don't understand exactly that part.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And how quick that was.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,Both explanations will be interesting.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,One is that this is just a continuation of the same kind of process.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"There's nothing special about humans, that will be deeply understanding that will be very interesting that we think of ourselves as special but it was obvious all it was already written in, in the code that you would have greater and greater until just emerging.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"And then the other explanation, which is something truly special happened something like a rare event, whether it's like crazy rare event like Space Odyssey, what would it be?","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"See if you say like the invention of fire, or the, as Richard Wrangham says the beta males deciding a clever way to kill the alpha males by collaborating, so just optimizing the collaboration, the really the multi agent aspects of the multi agent, and that really being constrained on resources and trying to survive.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,The collaboration aspect is what created the complex intelligence.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,But it seems like it's a natural outgrowth of the evolution process.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,What could possibly be a magical thing that happened?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,Like a rare thing that would say that humans are actually human level intelligence is actually a really rare thing in the universe?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"Yeah, I'm hesitant to say that it is rare, by the way, but it definitely seems like it's kind of like a punctuated equilibrium where you have lots of exploration, and then you have certain leaps, as far as leaps in between.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"So of course, like origin of life would be one, you know, DNA, sex, eukaryotic systems, eukaryotic life, the endosymbiosis event or the archaeon, eight little bacteria, you know, just the whole thing.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And then, of course, the emergence of consciousness and so on.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,So it seems like different to that are sports events where massive amount of progress was made?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"But yet, it's kind of hard to pick one?","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"Do you don't think humans are unique, that I asked you?","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,How many intelligent alien civilizations do you think are out there?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,And is their intelligence different or similar to ours?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"Yeah, I've been preoccupied with this question quite a bit recently, basically, the Fermi paradox and just thinking through and and the reason, actually, that I am very interested in the origin of life is fundamentally trying to understand how common it is that there are technological societies out there in space, and the more I study it, the more I think that there should be quite a few, quite a lot.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"Why haven't we heard from them, because I agree with you, it feels like, I just don't see why the what we did here on Earth is so difficult to do.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"Yeah, and especially when you get into the details of it, I used to think origin of life was very, it was this magical rare event, but then you read books, like, for example, in the clean, the vital question, whole life ascending, etc.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And he really gets in.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And he really makes you believe that this is not that rare, basic chemistry, you have an active earth, and you have your alkaline vents, and you have lots of alkaline water mixing, whether it's a devotion, and you have your proton gradients, and you have the global powers pockets of these Klein vents that concentrate chemistry.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And basically, as he steps through all of these little pieces, you start to understand that, actually, this is not that crazy, you could see this happen on other systems.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And he really takes you from just a geology to primitive life.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And he makes it feel like it's actually pretty plausible.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And also, like the origin of life didn't was actually fairly fast after formation of Earth.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"If I remember correctly, just a few 100 million years for something like that after basically when it was possible life actually arose.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"So that makes me feel that that is not the constraint, that is not the limiting variable, and that life should actually be fairly common.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And then you know, where the drop offs are, is very, is very interesting to think about.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"I currently think that there's no major drop offs, basically.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,And so there should be quite a lot of life.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,"And basically, what we're that brings me to then is the only way to reconcile the fact that we haven't found anyone and so on is that we just can't we can't see them.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,We can't observe them.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"Just a quick brief comment, Nick lane, and a lot of biologists I talked to, they really seem to think that the jump from bacteria to more complex organisms is the hardest","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,jump.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,The eukaryotic life.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,Yes.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,Yeah.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Andrej Karpathy,Which,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,I don't I get it.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,They're much more knowledgeable than me about like the intricacies of biology.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"But that seems like crazy, because how much how many single celled organisms are there?","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,Like and how much time you have?,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"Surely, it's not that difficult.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,Like in a billion years.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,It's not even that long.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"Of a time really, just all these bacteria under constrained resources, battling it out.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,I'm sure they can invent more complex.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,I don't understand.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"It's like, how to move from a Hello World program to like, like, invent a function or something like that.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,I don't.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,Yeah.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"So I don't Yeah, so I'm with you.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,I just feel like I don't see any.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"If the origin of life, that will be my intuition.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,That's the hardest thing.,"Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"But if that's not the hardest thing, because it happened so quickly, then it's got to be everywhere.","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
Lex Fridman,"And yeah, maybe we're just too dumb to see it","Andrej Karpathy - Tesla AI, Self-Driving, Optimus, Aliens, and AGI .txt"
